Name;Council of Europe;Schengen Area;EFTA;EEA;Nordic Council;Visegrád Group;Baltic Assembly;Benelux;Eurozone;European Union;EU Customs Union;BSEC;GUAM;CEFTA;Common Travel Area;Union State;Monetary agreement with the EU
CH;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IS;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
NO;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
LI;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DK;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
SE;1;1;0;1;1;0;0;0;0;1;1;0;0;0;0;0;0
MT;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
DE;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
AT;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
ES;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
SL;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
FR;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
IT;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
PT;1;1;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
EE;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0
LV;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0
LT;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0
BE;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0
NL;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0
LU;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0
HU;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0
PL;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0
CZ;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0
SK;1;1;0;1;0;1;0;0;1;1;1;0;0;0;0;0;0
CY;1;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0
IE;1;0;0;1;0;0;0;0;1;1;1;0;0;0;1;0;0
HR;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0
GR;1;1;0;1;0;0;0;0;1;1;1;1;0;0;0;0;0
BU;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
RO;1;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
TR;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
GE;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
UA;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
AZ;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
MD;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0
AL;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
RS;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
AM;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
RU;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
BY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
GB;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
AD;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
MC;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
SM;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
VA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
UNMIK;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
BA;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
MK;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
ME;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
FI;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0
