Element;IGG;ILT;ITW;IEL;ILR;INRES;PhenoRob;DETECT;Future Rural Africa
APMG;1;0;0;0;0;0;0;1;0
Agrarökologie und Organischer Landbau;0;0;0;0;0;1;1;0;1
Agricultural Robotics;0;1;0;0;0;0;1;0;0
Allgemeine Bodenkunde;0;0;0;0;0;1;1;1;1
Chemical Signaling;0;0;0;0;0;1;0;0;0
Crop Bioinformatics;0;0;0;0;0;1;0;0;0
Crop Functional Genomics;0;0;0;0;0;1;0;0;0
Data Science in Agricultural Economics;0;0;0;0;1;0;0;1;0
Economic Modeling of Agricultural Systems;0;0;0;0;1;0;0;1;0
Erdsystem-forschung;1;0;0;0;0;0;0;1;0
Ernährung und Mikrobiota;0;0;0;1;0;0;0;0;0
Ernährungs-epidemiologie;0;0;0;1;0;0;0;0;0
Ernährungs-physiologie;0;0;0;1;0;0;0;0;0
Fernerkundung;1;0;0;0;0;0;1;1;0
Gartenbau-wissenschaft;0;0;0;0;0;1;1;0;0
Geodäsie;1;0;0;0;0;0;1;0;0
Geoinformation;1;0;0;0;0;0;1;1;0
Globaler Wandel und Systemische Risiken;0;0;0;0;1;0;0;0;0
Haushalts- und Verfahrenstechnik;0;1;0;0;0;0;0;0;0
Haustiergenetik;0;0;1;0;0;0;0;0;0
Humanernährung;0;0;0;1;0;0;0;0;0
Informations-management;1;0;0;0;0;0;0;0;0
Lebensmittel-chemie;0;0;0;1;0;0;0;0;0
Lebensmittel-mikrobiologie- und hygiene;0;0;0;1;0;0;0;0;0
Lebensmittel-sicherheit;0;0;0;1;0;0;0;0;0
Lebensmittel-wissenschaften;0;0;0;1;0;0;0;0;0
Management der digitalen Circular Economy;0;0;0;0;1;0;0;0;0
Marktforschung der Agrar- und Ernährungs-wirtschaft;0;0;0;0;1;0;0;0;0
Molekulare Biologie der Rhizosphäre;0;0;0;0;0;1;1;0;0
Molekulare Lebensmittel-technologie;0;0;0;1;0;0;0;0;0
Molekulare Phytomedizin;0;0;0;0;0;1;0;0;0
Nachwachsende Rohstoffe;0;0;0;0;0;1;0;0;0
Nutztierhaltung;0;1;0;0;0;0;0;0;0
Pflanzen-ernährung;0;0;0;0;0;1;1;0;1
Pflanzen-ernährung in den Tropen und Subtropen;0;0;0;0;0;1;0;0;0
Pflanzen-pathologie;0;0;0;0;0;1;0;0;0
Pflanzen-züchtung;0;0;0;0;0;1;1;0;0
Pflanzenbau;0;0;0;0;0;1;1;1;0
Photogrammetrie;1;0;0;0;0;0;1;0;0
Physiologie;0;0;1;0;0;0;0;0;0
Produktions-ökonomik;0;0;0;0;1;0;0;1;0
Prozess- und Produkt-management;0;0;1;0;0;0;0;0;0
Präventives Gesundheits-management;0;0;1;0;0;0;0;0;0
Ressourcen- und Umweltökonomik;0;0;0;0;1;0;0;0;0
Städtebau und Bodenordnung;1;0;0;0;0;0;0;0;0
Technologie, Innovations-management, Entrepreneurship;0;0;0;0;1;0;0;0;0
Theoretische Geodäsie;1;0;0;0;0;0;0;0;0
Tierernährung;0;0;1;0;0;0;0;0;0
Tierzucht;0;0;1;0;0;0;0;0;0
Wirtschafts- und Agrarpolitik;0;0;0;0;1;0;1;1;1
Ökonomik nachhaltiger Landnutzung und Bioökonomie;0;0;0;0;1;0;1;1;1
