Element;Arbeiterkammer;Burschenschaften;Christlicher Verbindungen;Landwirtschaftskammer;ÖGB;Raiffeisen;St.Georgs-Orden;Wirtschaftskammer;SPÖ;ÖVP;NEOS;GRÜNE;FPÖ
Amesbauer;0;1;0;0;0;0;0;0;0;0;0;0;1
Angerer;0;0;0;0;0;0;0;0;0;0;0;0;1
Baumgartner;0;0;0;0;0;1;0;0;0;1;0;0;0
Bayr;0;0;0;0;0;0;0;0;1;0;0;0;0
Becher;0;0;0;0;0;0;0;0;1;0;0;0;0
Belakowitsch;0;0;0;0;0;0;0;0;0;0;0;0;1
Berlakovich;0;0;1;1;0;0;0;0;0;1;0;0;0
Bernhard;0;0;0;0;0;0;0;0;0;0;1;0;0
Blimlinger;0;0;0;0;0;0;0;0;0;0;0;1;0
Brandstätter;0;0;0;0;0;0;0;0;0;0;1;0;0
Brandstötter;0;0;0;0;0;0;0;0;0;0;1;0;0
Brandweiner;1;0;0;0;0;0;0;0;0;1;0;0;0
Brückl;0;1;0;0;0;0;0;0;0;0;0;0;1
Bures;0;0;0;0;0;0;0;0;1;0;0;0;0
Bösch;0;1;0;0;0;0;0;0;0;0;0;0;1
Bürstmayr;0;0;0;0;0;0;0;0;0;0;0;1;0
Deckenbacher;0;0;0;0;1;0;0;0;0;1;0;0;0
Deimek;0;0;0;0;0;0;0;0;0;0;0;0;1
Diesner-Wais;0;0;0;0;0;1;0;0;0;1;0;0;0
Disoski;0;0;0;0;0;0;0;0;0;0;0;1;0
Doppelbauer;0;0;0;0;0;0;0;0;0;0;1;0;0
Drobits;1;0;0;0;0;0;0;0;1;0;0;0;0
Ecker(FPÖ);0;0;0;0;0;0;0;0;0;0;0;0;1
Ecker(SPÖ);0;0;0;0;0;0;0;0;1;0;0;0;0
Egger;0;0;0;0;0;0;0;0;0;1;0;0;0
Einwaller;0;0;0;0;0;0;0;0;1;0;0;0;0
El-Nagashi;0;0;0;0;0;0;0;0;0;0;0;1;0
Engelbert;0;0;0;0;0;0;0;0;0;1;0;0;0
Erasim;0;0;0;0;0;0;0;0;1;0;0;0;0
Ernst-Dziedzic;0;0;0;0;0;0;0;0;0;0;0;1;0
Eßl;0;0;0;1;0;1;0;0;0;1;0;0;0
Feichtinger;0;0;0;0;0;0;0;0;1;0;0;0;0
Fiedler;0;0;0;0;0;0;0;0;0;0;1;0;0
Fischer;0;0;0;0;0;0;0;0;0;0;0;1;0
Fuchs;0;0;0;0;0;0;0;0;0;0;0;0;1
Fürlinger;0;0;1;0;0;0;0;0;0;1;0;0;0
Fürst;0;0;0;0;0;0;0;0;0;0;0;0;1
Gahr;0;0;0;1;0;1;0;0;0;1;0;0;0
Gerstl;0;0;1;0;0;0;0;0;0;1;0;0;0
Graf(FPÖ);0;1;0;0;0;0;0;0;0;0;0;0;1
Graf(ÖVP);0;0;0;0;0;0;0;1;0;1;0;0;0
Grebien;0;0;0;0;0;0;0;0;0;0;0;1;0
Greiner;0;0;0;0;0;0;0;0;1;0;0;0;0
Großbauer;0;0;0;0;0;0;0;0;0;1;0;0;0
Grünberg;0;0;0;0;0;0;0;0;0;1;0;0;0
Götze;0;0;0;0;0;0;0;0;0;0;0;1;0
Hafenecker;0;1;0;0;0;0;0;0;0;0;0;0;1
Hamann;0;0;0;0;0;0;0;0;0;0;0;1;0
Hammer;0;0;0;0;0;0;0;0;0;0;0;1;0
Hammer(ÖVP);0;0;0;0;0;0;0;0;0;1;0;0;0
Hanger;0;0;0;0;0;0;0;0;0;1;0;0;0
Haubner;0;0;1;0;0;0;0;1;0;1;0;0;0
Hauser;0;0;0;0;0;0;0;0;0;0;0;0;1
Hechenberger;0;0;0;1;0;0;0;0;0;1;0;0;0
Heinisch-Hosek;0;0;0;0;0;0;0;0;1;0;0;0;0
Herr;0;0;0;0;0;0;0;0;1;0;0;0;0
Himmelbauer;0;0;0;0;0;0;0;1;0;1;0;0;0
Hintner;0;0;1;0;0;0;0;0;0;1;0;0;0
Hofer;0;1;0;0;0;0;1;0;0;0;0;0;1
Hofinger;0;0;0;0;0;0;0;0;0;1;0;0;0
Holzleitner;0;0;0;0;0;0;0;0;1;0;0;0;0
Holzner;0;0;0;0;0;0;0;0;0;1;0;0;0
Hoyos-Trauttmansdorff;0;0;0;0;0;0;0;0;0;0;1;0;0
Höfinger;0;0;0;1;0;1;0;0;0;1;0;0;0
Hörl;0;0;0;0;0;0;0;1;0;1;0;0;0
Jachs;0;0;0;0;0;0;0;0;0;1;0;0;0
Jeitler-Cincelli;0;0;1;0;0;0;0;1;0;1;0;0;0
Kainz;0;0;0;0;1;0;0;0;0;0;0;0;1
Kaniak;0;0;0;0;0;0;0;1;0;0;0;0;1
Kassegger;0;1;0;0;0;0;0;1;0;0;0;0;1
Kaufmann;0;0;1;0;0;0;0;0;0;1;0;0;0
Keck;0;0;0;0;1;0;0;0;1;0;0;0;0
Kickl;0;0;0;0;0;0;0;0;0;0;0;0;1
Kirchbaumer;0;0;0;0;0;0;0;1;0;1;0;0;0
Kollross;0;0;0;0;0;0;0;0;1;0;0;0;0
Kopf;0;0;0;0;0;0;1;1;0;1;0;0;0
Koza;1;0;0;0;1;0;0;0;0;0;0;1;0
Krainer;0;0;0;0;0;0;0;0;1;0;0;0;0
Krisper;0;0;0;0;0;0;0;0;0;0;1;0;0
Kucharowits;0;0;0;0;0;0;0;0;1;0;0;0;0
Kucher;0;0;0;0;0;0;0;0;1;0;0;0;0
Kugler;0;0;0;0;0;0;0;0;0;1;0;0;0
Kuntzl;0;0;0;0;0;0;0;0;1;0;0;0;0
